player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
Tyrese Maxey,PHI,22,187.96,90.7184,Kentucky,USA,2020,1,21,60,20.3,2.9,3.5,5.4,0.012,0.079,0.236,0.605,0.167,2022-23
Kelly Oubre Jr.,CHA,27,198.12,92.079176,Kansas,USA,2015,1,15,48,20.3,5.2,1.1,-7.7,0.038,0.121,0.257,0.534,0.057,2022-23
Mikal Bridges,BKN,26,198.12,94.800728,Villanova,USA,2018,1,10,83,20.1,4.4,3.3,0.8,0.026,0.094,0.223,0.587,0.141,2022-23
Tyler Herro,MIA,23,195.58,88.45044,Kentucky,USA,2019,1,13,67,20.1,5.4,4.2,2.7,0.012,0.154,0.25,0.566,0.19,2022-23
Paolo Banchero,ORL,20,208.28,113.398,Duke,USA,2022,1,1,72,20,6.9,3.7,-4.2,0.035,0.174,0.272,0.529,0.171,2022-23
Louis King,PHI,24,200.66,92.98636,Oregon,USA,Undrafted,Undrafted,Undrafted,1,20,4,2,5.2,0.067,0.074,0.205,0.744,0.091,2022-23
Jamal Murray,DEN,26,193.04,97.52228,Kentucky,Canada,2016,1,7,65,20,4,6.2,6.4,0.024,0.099,0.256,0.571,0.265,2022-23
Cade Cunningham,DET,21,200.66,99.79024,Oklahoma State,USA,2021,1,1,12,19.9,6.2,6,-6.1,0.027,0.148,0.287,0.492,0.306,2022-23
RJ Barrett,NYK,23,198.12,97.068688,Duke,Canada,2019,1,3,73,19.6,5,2.8,-1.2,0.023,0.121,0.256,0.531,0.124,2022-23
Fred VanVleet,TOR,29,182.88,89.357624,Wichita State,USA,Undrafted,Undrafted,Undrafted,69,19.3,4.1,7.2,3.3,0.011,0.11,0.225,0.54,0.276,2022-23
Jrue Holiday,MIL,33,195.58,92.98636,UCLA,USA,2009,1,17,67,19.3,5.1,7.4,9.2,0.035,0.107,0.244,0.586,0.321,2022-23
Kevin Porter Jr.,HOU,23,193.04,92.079176,Southern California,USA,2019,1,30,59,19.2,5.3,5.7,-8.3,0.036,0.117,0.239,0.565,0.26,2022-23
Domantas Sabonis,SAC,27,215.9,108.86208,Gonzaga,Lithuania,2016,1,11,79,19.1,12.3,7.3,3.9,0.096,0.275,0.213,0.668,0.297,2022-23
Franz Wagner,ORL,21,208.28,99.79024,Michigan,Germany,2021,1,8,80,18.6,4.1,3.5,1.2,0.027,0.098,0.23,0.589,0.167,2022-23
Jaren Jackson Jr.,MEM,23,208.28,109.769264,Michigan State,USA,2018,1,4,63,18.6,6.8,1,9.8,0.058,0.159,0.243,0.613,0.048,2022-23
Devin Vassell,SAS,22,195.58,90.7184,Florida State,USA,2020,1,11,38,18.5,3.9,3.6,-11.7,0.006,0.125,0.24,0.55,0.173,2022-23
Myles Turner,IND,27,210.82,113.398,Texas,USA,2015,1,11,62,18,7.5,1.4,-1.2,0.049,0.205,0.225,0.651,0.074,2022-23
Deandre Ayton,PHX,24,213.36,113.398,Arizona,Bahamas,2018,1,1,67,18,10,1.7,0,0.084,0.247,0.231,0.617,0.09,2022-23
D'Angelo Russell,LAL,27,193.04,87.543256,Ohio State,USA,2015,1,2,71,17.8,3,6.2,1.5,0.016,0.075,0.225,0.605,0.274,2022-23
Nikola Vucevic,CHI,32,208.28,117.93392,Southern California,Montenegro,2011,1,16,82,17.6,11,3.2,-0.5,0.062,0.274,0.218,0.594,0.146,2022-23
Michael Porter Jr.,DEN,25,208.28,98.883056,Missouri,USA,2018,1,14,62,17.4,5.5,1,10.4,0.038,0.151,0.22,0.621,0.048,2022-23
Gary Trent Jr.,TOR,24,195.58,94.800728,Duke,USA,2018,2,37,66,17.4,2.6,1.6,-2.1,0.013,0.073,0.209,0.56,0.075,2022-23
Spencer Dinwiddie,BKN,30,195.58,97.52228,Colorado,USA,2014,2,38,79,17.3,3.4,6.5,-0.1,0.01,0.092,0.22,0.573,0.297,2022-23
Andrew Wiggins,GSW,28,200.66,89.357624,Kansas,Canada,2014,1,1,37,17.1,5,2.3,5.2,0.05,0.101,0.212,0.564,0.1,2022-23
Norman Powell,LAC,30,193.04,97.52228,UCLA,USA,2015,2,46,60,17,2.9,1.8,-3.8,0.015,0.093,0.251,0.612,0.115,2022-23
O.G. Anunoby,TOR,25,200.66,105.233344,Indiana,United Kingdom,2017,1,23,67,16.8,5,2,3,0.037,0.11,0.192,0.586,0.08,2022-23
