player_name,league,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
Brittney Griner,WNBA,PHO,26,206,93,Baylor,US,,,,22,21,7.8,1.8,,0.25,0.75,,,,2016-2017
Candace Parker,WNBA,LA,31,193,79,Tennessee,US,,,,29,17,8.3,4.4,,0.15,0.85,,,,2016-2017
Diana Taurasi,WNBA,PHO,34,183,74,Connecticut,US,,,,20,18.8,6.5,1.6,,0.24,0.76,,,,2016-2017
Jordan Hooper,WNBA,CHI,25,188,84,Nebraska,US,,,,29,16.1,11.5,1.4,,0.32,0.68,,,,2016-2017
Alyssa Thomas,WNBA,CON,24,188,84,Maryland,US,,,,28,14.3,6.9,4.9,,0.18,0.82,,,,2016-2017
Devereaux Peters,WNBA,IND,28,188,79,Notre Dame,US,,,,28,18.4,2.8,2.7,,0.1,0.9,,,,2016-2017
Evelyn Akhator,WNBA,DAL,22,191,82,Kentucky,NG,,,,30,14.7,9.1,1.7,,0.27,0.73,,,,2016-2017
Allie Quigley,WNBA,CHI,31,178,64,DePaul,US,,,,26,17,3.5,3.7,,0.1,0.9,,,,2016-2017
Courtney Vandersloot,WNBA,CHI,28,173,66,Gonzaga,US,,,,22,11.6,4,8,,0.15,0.85,,,,2016-2017
Emma Cannon,WNBA,PHO,28,188,86,Central Florida,US,,,,18,14,5.8,2.9,,0.31,0.69,,,,2016-2017
Jia Perkins,WNBA,MIN,35,173,75,Texas Tech,US,,,,30,17.2,3.2,3.4,,0.25,0.75,,,,2016-2017
Candice Dupree,WNBA,IND,33,188,81,Temple,US,,,,29,15,5.3,1.6,,0.2,0.8,,,,2016-2017
Chelsea Gray,WNBA,LA,25,180,77,Duke,US,,,,30,15.2,3.3,4.4,,0.19,0.81,,,,2016-2017
Kayla Pedersen,WNBA,CON,28,193,86,Stanford,US,,,,27,15.2,3.9,2.2,,0.11,0.89,,,,2016-2017
Isabelle Harrison,WNBA,SAN,23,191,83,Kentucky,US,,,,31,11.7,6.5,1.5,,0.33,0.67,,,,2016-2017
Jasmine Thomas,WNBA,CON,27,175,66,Duke,US,,,,27,14.5,2.4,4.4,,0.14,0.86,,,,2016-2017
Layshia Clarendon,WNBA,ATL,26,175,64,UC Berkeley,US,,,,30,11,3.8,6.9,,0.23,0.77,,,,2016-2017
